"mes","nombrecliente","fechaultcompra","diasuc_pc","diaspc_apc"
"2012-07","Albert Navarro","2012-07-01 00:00:00",NULL,NULL
"2012-07","Alexandra Bailey","2012-07-02 00:00:00",NULL,NULL
"2012-07","Alexandria Gray","2012-07-10 00:00:00",NULL,NULL
"2012-07","Alfredo Serrano","2012-07-06 00:00:00",NULL,NULL
"2012-07","Alice Clark","2012-07-31 00:00:00",NULL,NULL
"2012-07","Alicia Chapman","2012-07-11 00:00:00",NULL,NULL
"2012-07","Allen Suri","2012-07-30 00:00:00",NULL,NULL
"2012-07","Allison Nelson","2012-07-03 00:00:00",NULL,NULL
"2012-07","Alvaro De Matos Miranda Filho","2012-07-31 00:00:00",NULL,NULL
"2012-07","Alyssa Davis","2012-07-07 00:00:00",NULL,NULL
"2012-07","Amanda Turner","2012-07-05 00:00:00",NULL,NULL
"2012-07","Amy Alberts","2012-07-31 00:00:00",NULL,NULL
"2012-07","Ana Bryant","2012-07-21 00:00:00",NULL,NULL
"2012-07","Andrew Dixon","2012-07-31 00:00:00","92","92"
"2012-07","Andrew Kobylinski","2012-07-31 00:00:00","92","182"
"2012-07","Angel Rivera","2012-07-26 00:00:00",NULL,NULL
"2012-07","Angela Rivera","2012-07-18 00:00:00",NULL,NULL
"2012-07","Ann Evans","2012-07-31 00:00:00",NULL,NULL
"2012-07","Anna Harris","2012-07-21 00:00:00",NULL,NULL
"2012-07","Anna Lewis","2012-07-30 00:00:00",NULL,NULL
"2012-07","Anthony White","2012-07-23 00:00:00",NULL,NULL
"2012-07","April Shen","2012-07-10 00:00:00",NULL,NULL
"2012-07","Audrey Ortega","2012-07-11 00:00:00",NULL,NULL
"2012-07","Autumn Chen","2012-07-11 00:00:00",NULL,NULL
"2012-07","Bailey Adams","2012-07-24 00:00:00",NULL,NULL
"2012-07","Barry Johnson","2012-07-31 00:00:00","92","92"
"2012-07","Beth Carlson","2012-07-19 00:00:00",NULL,NULL
"2012-07","Beth Inghram","2012-07-31 00:00:00",NULL,NULL
"2012-07","Bev Desalvo","2012-07-31 00:00:00",NULL,NULL
"2012-07","Blake Gonzales","2012-07-07 00:00:00",NULL,NULL
"2012-07","Bob Fernandez","2012-07-06 00:00:00",NULL,NULL
"2012-07","Brandon Rodriguez","2012-07-13 00:00:00",NULL,NULL
"2012-07","Brandy Garcia","2012-07-30 00:00:00",NULL,NULL
"2012-07","Brendan Raje","2012-07-19 00:00:00",NULL,NULL
"2012-07","Briana Dominguez","2012-07-21 00:00:00",NULL,NULL
"2012-07","Brianna Diaz","2012-07-31 00:00:00",NULL,NULL
"2012-07","Brianna Walker","2012-07-06 00:00:00",NULL,NULL
"2012-07","Bridget Goel","2012-07-03 00:00:00",NULL,NULL
"2012-07","Brigid Cavendish","2012-07-31 00:00:00",NULL,NULL
"2012-07","Brittney Ma","2012-07-12 00:00:00",NULL,NULL
"2012-07","Bryant Mehta","2012-07-14 00:00:00",NULL,NULL
"2012-07","Cameron Jai","2012-07-27 00:00:00",NULL,NULL
"2012-07","Candace Arun","2012-07-05 00:00:00",NULL,NULL
"2012-07","Candace Sara","2012-07-13 00:00:00",NULL,NULL
"2012-07","Candice Zhu","2012-07-23 00:00:00",NULL,NULL
"2012-07","Carl Beck","2012-07-02 00:00:00",NULL,NULL
"2012-07","Carla Chapman","2012-07-01 00:00:00",NULL,NULL
"2012-07","Carla Rodriguez","2012-07-08 00:00:00",NULL,NULL
"2012-07","Carmen Martinez","2012-07-15 00:00:00",NULL,NULL
"2012-07","Caroline Vicknair","2012-07-31 00:00:00",NULL,NULL
"2012-07","Casey Nath","2012-07-05 00:00:00",NULL,NULL
"2012-07","Casey Xie","2012-07-20 00:00:00",NULL,NULL
"2012-07","Cassidy Henderson","2012-07-12 00:00:00",NULL,NULL
"2012-07","Cedric Liu","2012-07-06 00:00:00",NULL,NULL
"2012-07","Cedric She","2012-07-16 00:00:00",NULL,NULL
"2012-07","Charles Howard","2012-07-04 00:00:00",NULL,NULL
"2012-07","Chelsea Ray","2012-07-25 00:00:00",NULL,NULL
"2012-07","Cheryl Herring","2012-07-31 00:00:00","92","92"
"2012-07","Chloe Butler","2012-07-13 00:00:00",NULL,NULL
"2012-07","Christine Goel","2012-07-26 00:00:00",NULL,NULL
"2012-07","Christopher Beck","2012-07-31 00:00:00",NULL,NULL
"2012-07","Christy Chow","2012-07-28 00:00:00",NULL,NULL
"2012-07","Christy Luo","2012-07-30 00:00:00",NULL,NULL
"2012-07","Clinton Alvarez","2012-07-10 00:00:00",NULL,NULL
"2012-07","Colin Huang","2012-07-19 00:00:00",NULL,NULL
"2012-07","Colin Stone","2012-07-26 00:00:00",NULL,NULL
"2012-07","Colleen Andersen","2012-07-11 00:00:00",NULL,NULL
"2012-07","Colleen Huang","2012-07-16 00:00:00",NULL,NULL
"2012-07","Colleen Xie","2012-07-13 00:00:00",NULL,NULL
"2012-07","Colleen Zhao","2012-07-23 00:00:00",NULL,NULL
"2012-07","Conor Cunningham","2012-07-31 00:00:00","92","92"
"2012-07","Cornelius Brandon","2012-07-31 00:00:00",NULL,NULL
"2012-07","Cory Booth","2012-07-31 00:00:00","92","92"
"2012-07","Curtis Cai","2012-07-09 00:00:00",NULL,NULL
"2012-07","Dakota Griffin","2012-07-07 00:00:00",NULL,NULL
"2012-07","Dakota Henderson","2012-07-07 00:00:00",NULL,NULL
"2012-07","Dale Nara","2012-07-20 00:00:00",NULL,NULL
"2012-07","Dalton Murphy","2012-07-16 00:00:00",NULL,NULL
"2012-07","Dalton Ramirez","2012-07-16 00:00:00",NULL,NULL
"2012-07","Daniel Blanco","2012-07-31 00:00:00",NULL,NULL
"2012-07","Danielle Cook","2012-07-25 00:00:00",NULL,NULL
"2012-07","Danny Vazquez","2012-07-08 00:00:00",NULL,NULL
"2012-07","Darren Romero","2012-07-17 00:00:00",NULL,NULL
"2012-07","Darryl Zhao","2012-07-12 00:00:00",NULL,NULL
"2012-07","David Hodgson","2012-07-31 00:00:00",NULL,NULL
"2012-07","David Lewis","2012-07-01 00:00:00",NULL,NULL
"2012-07","Deanna Gomez","2012-07-24 00:00:00",NULL,NULL
"2012-07","Deborah McDonald","2012-07-06 00:00:00",NULL,NULL
"2012-07","Destiny Morgan","2012-07-06 00:00:00",NULL,NULL
"2012-07","Devin Stewart","2012-07-18 00:00:00",NULL,NULL
"2012-07","Devon Chander","2012-07-19 00:00:00",NULL,NULL
"2012-07","Devon Pal","2012-07-26 00:00:00",NULL,NULL
"2012-07","Diane Krane","2012-07-31 00:00:00",NULL,NULL
"2012-07","Donald Blanton","2012-07-31 00:00:00",NULL,NULL
"2012-07","Donna Carreras","2012-07-31 00:00:00","92","92"
"2012-07","Dorothy Fox","2012-07-31 00:00:00",NULL,NULL
"2012-07","Douglas Mehta","2012-07-24 00:00:00",NULL,NULL
"2012-07","Dwayne Alonso","2012-07-23 00:00:00",NULL,NULL
"2012-07","Dwayne Hernandez","2012-07-14 00:00:00",NULL,NULL
"2012-07","Dwayne Navarro","2012-07-24 00:00:00",NULL,NULL
"2012-07","Ebony Sanz","2012-07-26 00:00:00",NULL,NULL
"2012-07","Eddie Alonso","2012-07-20 00:00:00",NULL,NULL
"2012-07","Eduardo White","2012-07-30 00:00:00",NULL,NULL
"2012-07","Eli Bowen","2012-07-31 00:00:00",NULL,NULL
"2012-07","Elizabeth Lee","2012-07-27 00:00:00",NULL,NULL
"2012-07","Elizabeth Sullivan","2012-07-31 00:00:00",NULL,NULL
"2012-07","Emma Hall","2012-07-23 00:00:00",NULL,NULL
"2012-07","Eric Campbell","2012-07-27 00:00:00",NULL,NULL
"2012-07","Erika Ruiz","2012-07-25 00:00:00",NULL,NULL
"2012-07","Erin Bradley","2012-07-30 00:00:00",NULL,NULL
"2012-07","Evan Collins","2012-07-05 00:00:00",NULL,NULL
"2012-07","Evan Phillips","2012-07-14 00:00:00",NULL,NULL
"2012-07","Evelyn Subram","2012-07-03 00:00:00",NULL,NULL
"2012-07","Fadi Fakhouri","2012-07-31 00:00:00","92","92"
"2012-07","Florian Stiller","2012-07-09 00:00:00",NULL,NULL
"2012-07","Fran Highfill","2012-07-31 00:00:00",NULL,NULL
"2012-07","Francis Alvarez","2012-07-12 00:00:00",NULL,NULL
"2012-07","Francis Sanz","2012-07-17 00:00:00",NULL,NULL
"2012-07","Frank Campbell","2012-07-31 00:00:00","92","92"
"2012-07","Gabriel Turner","2012-07-24 00:00:00",NULL,NULL
"2012-07","Gabriella Parker","2012-07-02 00:00:00",NULL,NULL
"2012-07","Gabrielle Ross","2012-07-14 00:00:00",NULL,NULL
"2012-07","Gary Drury","2012-07-31 00:00:00","92","92"
"2012-07","Gary Vargas","2012-07-31 00:00:00",NULL,NULL
"2012-07","Gavin Perry","2012-07-16 00:00:00",NULL,NULL
"2012-07","George Sanchez","2012-07-23 00:00:00",NULL,NULL
"2012-07","Gina Schmidt","2012-07-04 00:00:00",NULL,NULL
"2012-07","Glenn Track","2012-07-31 00:00:00",NULL,NULL
"2012-07","Gloria Serrano","2012-07-06 00:00:00",NULL,NULL
"2012-07","Grace Bennett","2012-07-05 00:00:00",NULL,NULL
"2012-07","Grace Simmons","2012-07-07 00:00:00",NULL,NULL
"2012-07","Greg Johnson","2012-07-31 00:00:00",NULL,NULL
"2012-07","Gregory Chande","2012-07-20 00:00:00",NULL,NULL
"2012-07","Gregory Vanderbout","2012-07-31 00:00:00",NULL,NULL
"2012-07","Gustavo Achong","2012-07-31 00:00:00","92","92"
"2012-07","Guy Gilbert","2012-07-31 00:00:00",NULL,NULL
"2012-07","Haley Ross","2012-07-04 00:00:00",NULL,NULL
"2012-07","Hannah Moore","2012-07-25 00:00:00",NULL,NULL
"2012-07","Hannah Rodriguez","2012-07-12 00:00:00",NULL,NULL
"2012-07","Hattie Haemon","2012-07-31 00:00:00","92","92"
"2012-07","Helen Dennis","2012-07-31 00:00:00",NULL,NULL
"2012-07","Holly Fernandez","2012-07-12 00:00:00",NULL,NULL
"2012-07","Humberto Acevedo","2012-07-31 00:00:00","92","92"
"2012-07","Ian Alexander","2012-07-12 00:00:00",NULL,NULL
"2012-07","Ian Martinez","2012-07-30 00:00:00",NULL,NULL
"2012-07","Ian Wood","2012-07-01 00:00:00",NULL,NULL
"2012-07","Irving Schmidt","2012-07-09 00:00:00",NULL,NULL
"2012-07","Isabella Campbell","2012-07-29 00:00:00",NULL,NULL
"2012-07","Isabella Martinez","2012-07-01 00:00:00",NULL,NULL
"2012-07","Isabella Perez","2012-07-05 00:00:00",NULL,NULL
"2012-07","Isaiah Hall","2012-07-16 00:00:00",NULL,NULL
"2012-07","J?sus Hernandez","2012-07-31 00:00:00",NULL,NULL
"2012-07","J?sus Ramos","2012-07-23 00:00:00",NULL,NULL
"2012-07","Jackson Jai","2012-07-14 00:00:00",NULL,NULL
"2012-07","Jackson Jenkins","2012-07-11 00:00:00",NULL,NULL
"2012-07","Jackson Lopez","2012-07-28 00:00:00",NULL,NULL
"2012-07","Jaclyn Pal","2012-07-23 00:00:00",NULL,NULL
"2012-07","Jacqueline Hughes","2012-07-15 00:00:00",NULL,NULL
"2012-07","Jada Murphy","2012-07-26 00:00:00",NULL,NULL
"2012-07","Jake Wang","2012-07-13 00:00:00",NULL,NULL
"2012-07","James Haugh","2012-07-31 00:00:00",NULL,NULL
"2012-07","James Jackson","2012-07-01 00:00:00",NULL,NULL
"2012-07","Jamie Sun","2012-07-07 00:00:00",NULL,NULL
"2012-07","Jamie Ye","2012-07-01 00:00:00",NULL,NULL
"2012-07","Jane McCarty","2012-07-31 00:00:00",NULL,NULL
"2012-07","Jarrod Madan","2012-07-22 00:00:00",NULL,NULL
"2012-07","Jasmine Peterson","2012-07-13 00:00:00",NULL,NULL
"2012-07","Jasmine Thomas","2012-07-04 00:00:00",NULL,NULL
"2012-07","Jay Prasad","2012-07-02 00:00:00",NULL,NULL
"2012-07","Jean Handley","2012-07-31 00:00:00","92","92"
"2012-07","Jeanette Cole","2012-07-31 00:00:00","92","92"
"2012-07","Jeffrey Kung","2012-07-31 00:00:00",NULL,NULL
"2012-07","Jeffrey Kurtz","2012-07-31 00:00:00",NULL,NULL
"2012-07","Jennifer Jackson","2012-07-25 00:00:00",NULL,NULL
"2012-07","Jennifer Washington","2012-07-25 00:00:00",NULL,NULL
"2012-07","Jennifer White","2012-07-07 00:00:00",NULL,NULL
"2012-07","Jenny Zhang","2012-07-16 00:00:00",NULL,NULL
"2012-07","Jeremiah Diaz","2012-07-03 00:00:00",NULL,NULL
"2012-07","Jeremiah Lopez","2012-07-24 00:00:00",NULL,NULL
"2012-07","Jesse Hall","2012-07-10 00:00:00",NULL,NULL
"2012-07","Jill Gutierrez","2012-07-10 00:00:00",NULL,NULL
"2012-07","Jill Vazquez","2012-07-03 00:00:00",NULL,NULL
"2012-07","Jim Geist","2012-07-31 00:00:00",NULL,NULL
"2012-07","Jim Stewart","2012-07-31 00:00:00",NULL,NULL
"2012-07","Jimmy Travers","2012-07-22 00:00:00",NULL,NULL
"2012-07","Jinghao Liu","2012-07-31 00:00:00",NULL,NULL
"2012-07","Joanna Munoz","2012-07-12 00:00:00",NULL,NULL
"2012-07","Jocelyn Price","2012-07-18 00:00:00",NULL,NULL
"2012-07","Joe Howard","2012-07-31 00:00:00",NULL,NULL
"2012-07","Joel Fernandez","2012-07-24 00:00:00",NULL,NULL
"2012-07","Joel Raman","2012-07-19 00:00:00",NULL,NULL
"2012-07","John Williams","2012-07-08 00:00:00",NULL,NULL
"2012-07","Johnny Luo","2012-07-16 00:00:00",NULL,NULL
"2012-07","Jonathon Suarez","2012-07-24 00:00:00",NULL,NULL
"2012-07","Jordan Foster","2012-07-29 00:00:00",NULL,NULL
"2012-07","Jordan Hernandez","2012-07-18 00:00:00",NULL,NULL
"2012-07","Jordan King","2012-07-22 00:00:00",NULL,NULL
"2012-07","Jordan Turner","2012-07-23 00:00:00",NULL,NULL
"2012-07","Jordyn Coleman","2012-07-24 00:00:00",NULL,NULL
"2012-07","Jordyn Flores","2012-07-18 00:00:00",NULL,NULL
"2012-07","Jorge Hu","2012-07-28 00:00:00",NULL,NULL
"2012-07","Jorge Liang","2012-07-18 00:00:00",NULL,NULL
"2012-07","Jose Garcia","2012-07-25 00:00:00",NULL,NULL
"2012-07","Joseph Castellucio","2012-07-31 00:00:00","92","92"
"2012-07","Joseph Rodriguez","2012-07-06 00:00:00",NULL,NULL
"2012-07","Joshua Lee","2012-07-02 00:00:00",NULL,NULL
"2012-07","Joy Navarro","2012-07-22 00:00:00",NULL,NULL
"2012-07","Juan Romero","2012-07-29 00:00:00",NULL,NULL
"2012-07","Judy Thames","2012-07-31 00:00:00","92",NULL
"2012-07","Julia Rogers","2012-07-21 00:00:00",NULL,NULL
"2012-07","Julia Thomas","2012-07-28 00:00:00",NULL,NULL
"2012-07","Julio Sanz","2012-07-23 00:00:00",NULL,NULL
"2012-07","June Brunner","2012-07-31 00:00:00",NULL,NULL
"2012-07","Justin Butler","2012-07-13 00:00:00",NULL,NULL
"2012-07","Karen Smith","2012-07-09 00:00:00",NULL,NULL
"2012-07","Karen Zhao","2012-07-06 00:00:00",NULL,NULL
"2012-07","Kate Lal","2012-07-29 00:00:00",NULL,NULL
"2012-07","Katelyn Gray","2012-07-23 00:00:00",NULL,NULL
"2012-07","Katherine Scott","2012-07-03 00:00:00",NULL,NULL
"2012-07","Kathleen Garza","2012-07-31 00:00:00",NULL,NULL
"2012-07","Kathleen Gill","2012-07-20 00:00:00",NULL,NULL
"2012-07","Kay Krane","2012-07-31 00:00:00","92","92"
"2012-07","Kayla Hayes","2012-07-15 00:00:00",NULL,NULL
"2012-07","Keith Andersen","2012-07-04 00:00:00",NULL,NULL
"2012-07","Kellie Hernandez","2012-07-05 00:00:00",NULL,NULL
"2012-07","Kellie Moreno","2012-07-25 00:00:00",NULL,NULL
"2012-07","Kelsey Nath","2012-07-14 00:00:00",NULL,NULL
"2012-07","Kelvin Xu","2012-07-17 00:00:00",NULL,NULL
"2012-07","Kerim Hanif","2012-07-31 00:00:00",NULL,NULL
"2012-07","Kevin Browne","2012-07-31 00:00:00","92","92"
"2012-07","Kevin Kennedy","2012-07-31 00:00:00",NULL,NULL
"2012-07","Kevin King","2012-07-22 00:00:00",NULL,NULL
"2012-07","Kevin Liu","2012-07-31 00:00:00",NULL,NULL
"2012-07","Kim Abercrombie","2012-07-31 00:00:00","92","92"
"2012-07","Kirk DeGrasse","2012-07-31 00:00:00",NULL,NULL
"2012-07","Krishna Sunkammurali","2012-07-31 00:00:00",NULL,NULL
"2012-07","Kristen Huang","2012-07-05 00:00:00",NULL,NULL
"2012-07","Kristina Fernandez","2012-07-29 00:00:00",NULL,NULL
"2012-07","Kristopher Lopez","2012-07-21 00:00:00",NULL,NULL
"2012-07","Latoya Jai","2012-07-29 00:00:00",NULL,NULL
"2012-07","Latoya Sharma","2012-07-19 00:00:00",NULL,NULL
"2012-07","Laura Xu","2012-07-17 00:00:00",NULL,NULL
"2012-07","Laura Zhou","2012-07-20 00:00:00",NULL,NULL
"2012-07","Lauren Coleman","2012-07-12 00:00:00",NULL,NULL
"2012-07","Lauren Cook","2012-07-17 00:00:00",NULL,NULL
"2012-07","Lawrence Suarez","2012-07-08 00:00:00",NULL,NULL
"2012-07","Leah Zhang","2012-07-19 00:00:00",NULL,NULL
"2012-07","Lee Chapla","2012-07-31 00:00:00","92","92"
"2012-07","Lester Bowman","2012-07-31 00:00:00","92","92"
"2012-07","Linda Dominguez","2012-07-15 00:00:00",NULL,NULL
"2012-07","Lisa Roy","2012-07-11 00:00:00",NULL,NULL
"2012-07","Logan Perry","2012-07-01 00:00:00",NULL,NULL
"2012-07","Lucas Cox","2012-07-26 00:00:00",NULL,NULL
"2012-07","Lucas Thomas","2012-07-27 00:00:00",NULL,NULL
"2012-07","Lucy Harrington","2012-07-31 00:00:00",NULL,NULL
"2012-07","Luis Bonifaz","2012-07-31 00:00:00",NULL,NULL
"2012-07","Luis Carter","2012-07-16 00:00:00",NULL,NULL
"2012-07","Lydia Sanchez","2012-07-17 00:00:00",NULL,NULL
"2012-07","Manuel Madan","2012-07-05 00:00:00",NULL,NULL
"2012-07","Marcus Wright","2012-07-06 00:00:00",NULL,NULL
"2012-07","Margaret Smith","2012-07-31 00:00:00",NULL,NULL
"2012-07","Margaret Zheng","2012-07-18 00:00:00",NULL,NULL
"2012-07","Maria Wood","2012-07-03 00:00:00",NULL,NULL
"2012-07","Mariah Cox","2012-07-21 00:00:00",NULL,NULL
"2012-07","Mariah Henderson","2012-07-04 00:00:00",NULL,NULL
"2012-07","Mario Ashe","2012-07-06 00:00:00",NULL,NULL
"2012-07","Mark Erickson","2012-07-31 00:00:00",NULL,NULL
"2012-07","Martha Espinoza","2012-07-31 00:00:00","92","92"
"2012-07","Marty Simpson","2012-07-25 00:00:00",NULL,NULL
"2012-07","Marvin Allen","2012-07-31 00:00:00","92","92"
"2012-07","Mary Alexander","2012-07-31 00:00:00",NULL,NULL
"2012-07","Matthew Miller","2012-07-31 00:00:00",NULL,NULL
"2012-07","Maurice Rai","2012-07-14 00:00:00",NULL,NULL
"2012-07","Megan Hall","2012-07-21 00:00:00",NULL,NULL
"2012-07","Meghan Torres","2012-07-18 00:00:00",NULL,NULL
"2012-07","Melinda Jimenez","2012-07-12 00:00:00",NULL,NULL
"2012-07","Melissa Marple","2012-07-31 00:00:00","92","92"
"2012-07","Melissa Patterson","2012-07-12 00:00:00",NULL,NULL
"2012-07","Melody Romero","2012-07-14 00:00:00",NULL,NULL
"2012-07","Mete Goktepe","2012-07-31 00:00:00","92","92"
"2012-07","Michael Graff","2012-07-31 00:00:00",NULL,NULL
"2012-07","Michael Vanderhyde","2012-07-31 00:00:00","92","92"
"2012-07","Michele Jai","2012-07-08 00:00:00",NULL,NULL
"2012-07","Michele Luo","2012-07-29 00:00:00",NULL,NULL
"2012-07","Michele Madan","2012-07-20 00:00:00",NULL,NULL
"2012-07","Mihail Frintu","2012-07-31 00:00:00",NULL,NULL
"2012-07","Mike Hines","2012-07-31 00:00:00","184","181"
"2012-07","Min Su","2012-07-31 00:00:00",NULL,NULL
"2012-07","Mindy Simpson","2012-07-13 00:00:00",NULL,NULL
"2012-07","Mya Griffin","2012-07-26 00:00:00",NULL,NULL
"2012-07","Natalie Edwards","2012-07-20 00:00:00",NULL,NULL
"2012-07","Natalie Hill","2012-07-19 00:00:00",NULL,NULL
"2012-07","Natalie Parker","2012-07-30 00:00:00",NULL,NULL
"2012-07","Natalie Wright","2012-07-02 00:00:00",NULL,NULL
"2012-07","Nate Sun","2012-07-31 00:00:00",NULL,NULL
"2012-07","Nathan Brown","2012-07-18 00:00:00",NULL,NULL
"2012-07","Nelson Diaz","2012-07-05 00:00:00",NULL,NULL
"2012-07","Nelson Hernandez","2012-07-05 00:00:00",NULL,NULL
"2012-07","Nicole Coleman","2012-07-24 00:00:00",NULL,NULL
"2012-07","Noah Bryant","2012-07-21 00:00:00",NULL,NULL
"2012-07","Noah Chen","2012-07-08 00:00:00",NULL,NULL
"2012-07","Noah Hughes","2012-07-25 00:00:00",NULL,NULL
"2012-07","Noah Young","2012-07-07 00:00:00",NULL,NULL
"2012-07","Omar Lal","2012-07-20 00:00:00",NULL,NULL
"2012-07","Pam Herrick","2012-07-31 00:00:00",NULL,NULL
"2012-07","Pamela Cox","2012-07-31 00:00:00","92","92"
"2012-07","Pat Chambers","2012-07-31 00:00:00","92","92"
"2012-07","Patrick Magenheimer","2012-07-31 00:00:00",NULL,NULL
"2012-07","Paula Carlson","2012-07-20 00:00:00",NULL,NULL
"2012-07","Paulo Lisboa","2012-07-31 00:00:00",NULL,NULL
"2012-07","Pedro Malhotra","2012-07-19 00:00:00",NULL,NULL
"2012-07","Pedro Suarez","2012-07-05 00:00:00",NULL,NULL
"2012-07","Petr Lazecky","2012-07-11 00:00:00",NULL,NULL
"2012-07","Rachel Howard","2012-07-04 00:00:00",NULL,NULL
"2012-07","Rachel Martin","2012-07-14 00:00:00",NULL,NULL
"2012-07","Raja Venugopal","2012-07-31 00:00:00",NULL,NULL
"2012-07","Randall Boseman","2012-07-31 00:00:00",NULL,NULL
"2012-07","Raquel Mello","2012-07-31 00:00:00",NULL,NULL
"2012-07","Raul Deng","2012-07-26 00:00:00",NULL,NULL
"2012-07","Renee Gomez","2012-07-16 00:00:00",NULL,NULL
"2012-07","Reuben D'sa","2012-07-31 00:00:00","92","92"
"2012-07","Rhoda Finley","2012-07-31 00:00:00",NULL,NULL
"2012-07","Richard Coleman","2012-07-21 00:00:00",NULL,NULL
"2012-07","Richard Lum","2012-07-31 00:00:00","92","92"
"2012-07","Richard Rogers","2012-07-14 00:00:00",NULL,NULL
"2012-07","Ricky Romero","2012-07-17 00:00:00",NULL,NULL
"2012-07","Ricky Ruiz","2012-07-26 00:00:00",NULL,NULL
"2012-07","Rob Caron","2012-07-31 00:00:00",NULL,NULL
"2012-07","Robert Bernacchi","2012-07-31 00:00:00",NULL,NULL
"2012-07","Robert Kelly","2012-07-31 00:00:00",NULL,NULL
"2012-07","Robert Lyeba","2012-07-31 00:00:00","92","92"
"2012-07","Robert Lyon","2012-07-31 00:00:00",NULL,NULL
"2012-07","Ronnie Lin","2012-07-19 00:00:00",NULL,NULL
"2012-07","Roy Vazquez","2012-07-25 00:00:00",NULL,NULL
"2012-07","Ruben Rodriguez","2012-07-21 00:00:00",NULL,NULL
"2012-07","Rudolph Dillon","2012-07-31 00:00:00","92","92"
"2012-07","Ruth Choin","2012-07-31 00:00:00","92","92"
"2012-07","Sandra Chen","2012-07-25 00:00:00",NULL,NULL
"2012-07","Sara Breer","2012-07-31 00:00:00","92","92"
"2012-07","Sara Peterson","2012-07-28 00:00:00",NULL,NULL
"2012-07","Sarah Martinez","2012-07-25 00:00:00",NULL,NULL
"2012-07","Savannah Edwards","2012-07-29 00:00:00",NULL,NULL
"2012-07","Scott Colvin","2012-07-31 00:00:00","92","182"
"2012-07","Shanay Steelman","2012-07-31 00:00:00",NULL,NULL
"2012-07","Sharon Looney","2012-07-31 00:00:00",NULL,NULL
"2012-07","Shaun Shen","2012-07-08 00:00:00",NULL,NULL
"2012-07","Sheena Chander","2012-07-08 00:00:00",NULL,NULL
"2012-07","Stephanie Baker","2012-07-27 00:00:00",NULL,NULL
"2012-07","Stephanie Conroy","2012-07-31 00:00:00",NULL,NULL
"2012-07","Stephanie Hughes","2012-07-18 00:00:00",NULL,NULL
"2012-07","Stephanie Price","2012-07-14 00:00:00",NULL,NULL
"2012-07","Stephen Ayers","2012-07-31 00:00:00",NULL,NULL
"2012-07","Steven Brown","2012-07-31 00:00:00","92","92"
"2012-07","Susan Liang","2012-07-30 00:00:00",NULL,NULL
"2012-07","Tara Chande","2012-07-28 00:00:00",NULL,NULL
"2012-07","Taylor Lee","2012-07-13 00:00:00",NULL,NULL
"2012-07","Terrance Sara","2012-07-31 00:00:00",NULL,NULL
"2012-07","Terrence Chander","2012-07-13 00:00:00",NULL,NULL
"2012-07","Timothy Phillips","2012-07-26 00:00:00",NULL,NULL
"2012-07","Todd Logan","2012-07-31 00:00:00",NULL,NULL
"2012-07","Tomas Manzanares","2012-07-31 00:00:00",NULL,NULL
"2012-07","Tommy Pal","2012-07-27 00:00:00",NULL,NULL
"2012-07","Toni Kapoor","2012-07-18 00:00:00",NULL,NULL
"2012-07","Tony Xie","2012-07-03 00:00:00",NULL,NULL
"2012-07","Trisha Zhou","2012-07-30 00:00:00",NULL,NULL
"2012-07","Troy Srini","2012-07-19 00:00:00",NULL,NULL
"2012-07","Tyrone Ortega","2012-07-30 00:00:00",NULL,NULL
"2012-07","Vanessa Ross","2012-07-27 00:00:00",NULL,NULL
"2012-07","Victoria Rodriguez","2012-07-11 00:00:00",NULL,NULL
"2012-07","Walter Brian","2012-07-31 00:00:00",NULL,NULL
"2012-07","Walter Mays","2012-07-31 00:00:00",NULL,NULL
"2012-07","Wayne Banack","2012-07-31 00:00:00",NULL,NULL
"2012-07","Wesley Liang","2012-07-12 00:00:00",NULL,NULL
"2012-07","Willie Gao","2012-07-27 00:00:00",NULL,NULL
"2012-07","Wyatt Rodriguez","2012-07-14 00:00:00",NULL,NULL
"2012-07","Y. Yong","2012-07-17 00:00:00",NULL,NULL
"2012-07","Yale Li","2012-07-31 00:00:00","92","92"
"2012-07","Yan Li","2012-07-31 00:00:00",NULL,NULL
"2012-07","Zachary Chen","2012-07-15 00:00:00",NULL,NULL
"2012-08","Abigail Griffin","2012-08-13 00:00:00",NULL,NULL
"2012-08","Alan He","2012-08-15 00:00:00",NULL,NULL
"2012-08","Alberto Ramos","2012-08-23 00:00:00",NULL,NULL
"2012-08","Alejandro Ma","2012-08-22 00:00:00",NULL,NULL
"2012-08","Alexa Peterson","2012-08-21 00:00:00",NULL,NULL
"2012-08","Alexander Miller","2012-08-08 00:00:00",NULL,NULL
"2012-08","Alexandra Flores","2012-08-30 00:00:00",NULL,NULL
"2012-08","Alexandra Lopez","2012-08-12 00:00:00",NULL,NULL
"2012-08","Alexandra Sanders","2012-08-29 00:00:00",NULL,NULL
"2012-08","Alexandria Gonzales","2012-08-11 00:00:00",NULL,NULL
"2012-08","Amanda Torres","2012-08-19 00:00:00",NULL,NULL
"2012-08","Amanda Wright","2012-08-27 00:00:00",NULL,NULL
"2012-08","Amy Chow","2012-08-14 00:00:00",NULL,NULL
"2012-08","Andre Garcia","2012-08-30 00:00:00",NULL,NULL
"2012-08","Andy Carothers","2012-08-30 00:00:00","92",NULL
"2012-08","Ann Madan","2012-08-03 00:00:00",NULL,NULL
"2012-08","Anna Albright","2012-08-30 00:00:00","92",NULL
"2012-08","Anthony Clark","2012-08-07 00:00:00",NULL,NULL
